text{ key = "buy", value = "Acheter" }
text{ key = "copyright_menu.made_by_fans.line1", value = "Ce jeu est réalisé par des fans," }
text{ key = "copyright_menu.made_by_fans.line2", value = "est non commercial" }
text{ key = "copyright_menu.made_by_fans.line3", value = "et n'a aucun lien avec Nintendo." }
text{ key = "copyright_menu.solarus_license.line1", value = "Solarus est un logiciel libre" }
text{ key = "copyright_menu.solarus_license.line2", value = "sous licence GPL v3." }
text{ key = "copyright_menu.tloz_trademark.line1", value = "The Legend of Zelda est" }
text{ key = "copyright_menu.tloz_trademark.line2", value = "une marque déposée de Nintendo." }
text{ key = "file_selection.cancel", value = "Annuler" }
text{ key = "file_selection.choose_file", value = "Veuillez choisir un fichier" }
text{ key = "file_selection.confirm_delete", value = "Etes-vous sûr ?" }
text{ key = "file_selection.delete", value = "Effacer" }
text{ key = "file_selection.delete_file", value = "Quel fichier effacer ?" }
text{ key = "file_selection.empty", value = "Vide" }
text{ key = "file_selection.enter_name", value = "Quel est votre nom ?" }
text{ key = "file_selection.options", value = "Options" }
text{ key = "game.thief", value = "VOYOU" }
text{ key = "hud.action", value = "Action" }
text{ key = "hud.change", value = "Changer" }
text{ key = "hud.grab", value = "Saisir" }
text{ key = "hud.info", value = "Infos" }
text{ key = "hud.lift", value = "Soulever" }
text{ key = "hud.look", value = "Voir" }
text{ key = "hud.next", value = "Suite" }
text{ key = "hud.open", value = "Ouvrir" }
text{ key = "hud.pause", value = "Pause" }
text{ key = "hud.return", value = "Retour" }
text{ key = "hud.save", value = "Sauver" }
text{ key = "hud.skip", value = "Passer" }
text{ key = "hud.speak", value = "Parler" }
text{ key = "hud.stop", value = "Arrêter" }
text{ key = "hud.swim", value = "Nager" }
text{ key = "hud.throw", value = "Jeter" }
text{ key = "hud.validate", value = "Valider" }
text{ key = "inventory.caption.item.angler_key.1", value = "Clé poisson" }
text{ key = "inventory.caption.item.bird_key.1", value = "Clé vautour" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombes" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.bow.1", value = "Arc" }
text{ key = "inventory.caption.item.bow.2", value = "Arc & Flèches" }
text{ key = "inventory.caption.item.carte.1", value = "Carte de Cocolint" }
text{ key = "inventory.caption.item.drug.1", value = "Médicament secret" }
text{ key = "inventory.caption.item.face_key.1", value = "Clé du masque" }
text{ key = "inventory.caption.item.feather.1", value = "Plume" }
text{ key = "inventory.caption.item.fire_rod.1", value = "Bâton de feu" }
text{ key = "inventory.caption.item.flippers.1", value = "Palmes" }
text{ key = "inventory.caption.item.golden_leaves_counter.1", value = "Feuilles d'or" }
text{ key = "inventory.caption.item.hammer.1", value = "Marteau" }
text{ key = "inventory.caption.item.hookshot.1", value = "Grappin" }
text{ key = "inventory.caption.item.instrument_1.1", value = "Violon des vagues" }
text{ key = "inventory.caption.item.instrument_2.1", value = "Conque de l'écume" }
text{ key = "inventory.caption.item.instrument_3.1", value = "Cloche des algues" }
text{ key = "inventory.caption.item.instrument_4.1", value = "Harpe du reflux" }
text{ key = "inventory.caption.item.instrument_5.1", value = "Xylophone marin" }
text{ key = "inventory.caption.item.instrument_6.1", value = "Triangle du corail" }
text{ key = "inventory.caption.item.instrument_7.1", value = "Orgue de l'embellie" }
text{ key = "inventory.caption.item.instrument_8.1", value = "Tambour des marées" }
text{ key = "inventory.caption.item.lamp.1", value = "Lanterne" }
text{ key = "inventory.caption.item.magic_powders_counter.1", value = "Poudre magique" }
text{ key = "inventory.caption.item.magnifying_lens.1", value = "Yoshi" }
text{ key = "inventory.caption.item.magnifying_lens.10", value = "Balai" }
text{ key = "inventory.caption.item.magnifying_lens.11", value = "Hameçon" }
text{ key = "inventory.caption.item.magnifying_lens.12", value = "Collier" }
text{ key = "inventory.caption.item.magnifying_lens.13", value = "Ecaille" }
text{ key = "inventory.caption.item.magnifying_lens.14", value = "Loupe" }
text{ key = "inventory.caption.item.magnifying_lens.2", value = "Ruban" }
text{ key = "inventory.caption.item.magnifying_lens.3", value = "Patée" }
text{ key = "inventory.caption.item.magnifying_lens.4", value = "Bananes" }
text{ key = "inventory.caption.item.magnifying_lens.5", value = "Bâton" }
text{ key = "inventory.caption.item.magnifying_lens.6", value = "Miel" }
text{ key = "inventory.caption.item.magnifying_lens.7", value = "Ananas" }
text{ key = "inventory.caption.item.magnifying_lens.8", value = "Hibiscus" }
text{ key = "inventory.caption.item.magnifying_lens.9", value = "Lettre" }
text{ key = "inventory.caption.item.melody_1.1", value = "Ballade du poisson-rêve" }
text{ key = "inventory.caption.item.melody_2.1", value = "Mambo de Mambo" }
text{ key = "inventory.caption.item.melody_3.1", value = "Chanson des grenouilles" }
text{ key = "inventory.caption.item.mushroom.1", value = "Champignon" }
text{ key = "inventory.caption.item.ocarina.1", value = "Ocarina" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Bottes de Pégase" }
text{ key = "inventory.caption.item.photos_counter.1", value = "Photos" }
text{ key = "inventory.caption.item.piece_of_heart.0", value = "0 fragment de coeur" }
text{ key = "inventory.caption.item.piece_of_heart.1", value = "1 fragment de coeur" }
text{ key = "inventory.caption.item.piece_of_heart.2", value = "2 fragments de coeur" }
text{ key = "inventory.caption.item.piece_of_heart.3", value = "3 fragments de coeur" }
text{ key = "inventory.caption.item.power_bracelet.1", value = "Bracelets de force" }
